,B,C
SCL_ACC_X,-0.38115532428061144,-9.427140614369843e-06
SCL_ACC_Y,-0.49728598797710843,-1.504647881241991e-05
SCL_ACC_Z,1.3595190294484933,-6.640513545800811e-06
