,B,C
ADXL_ACC_X,-2.2309707210103213,4.022282957175404e-05
ADXL_ACC_Y,3.9032758007182884,4.3649462775729814e-05
ADXL_ACC_Z,-1.7032134153736795,-1.0689225668683449e-06
