,B,C
SCL_ACC_X,0.3552369973444417,-9.462528317624615e-06
SCL_ACC_Y,-0.4004923683367296,-1.0814566498343556e-05
SCL_ACC_Z,-0.1736361260824255,-7.816983489626828e-06
