,B,C
ADXL_ACC_X,1.4241443342430604,4.3645159495412814e-05
ADXL_ACC_Y,0.9923052322133593,4.61763779894907e-05
ADXL_ACC_Z,-4.6507411754665755,8.093853155746866e-06
