,B,C
SCL_ACC_X,0.03646471202302209,-8.8346243573549e-06
SCL_ACC_Y,-0.5992688172545155,-9.806095324392428e-06
SCL_ACC_Z,0.04182380447558485,-1.6089359092256454e-06
