,B,C
ADXL_ACC_X,-0.4138834106427616,3.66454936159995e-05
ADXL_ACC_Y,1.4671305750683827,4.063278508902557e-05
ADXL_ACC_Z,6.063196089867344,3.6010438163788694e-06
