,B,C
ADXL_ACC_X,2.1120851846960482,4.2833995039096605e-05
ADXL_ACC_Y,1.31287434493284,4.6045438084952975e-05
ADXL_ACC_Z,8.677266434839796,9.715070836792635e-06
