,B,C
ADXL_ACC_X,0.2969321110239852,3.769493334012686e-05
ADXL_ACC_Y,-1.5055177940329225,4.2737141097391814e-05
ADXL_ACC_Z,1.166537726128811,3.0121018928494783e-06
