,B,C
SCL_ACC_X,0.12646898297090223,-1.1140102504093573e-05
SCL_ACC_Y,-0.3687445137472028,-1.4782359679329352e-05
SCL_ACC_Z,0.540300878679564,-1.8572943201610486e-07
