,B,C
SCL_ACC_X,-0.26181652043561754,-1.0314699275273037e-05
SCL_ACC_Y,-0.7223336214120649,-1.291043054066642e-05
SCL_ACC_Z,-0.07830361222323143,-1.316462910430146e-05
